"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02064V02491","Type of Milk","UNIT","VALUE"
"AKM02","Milk Sales (Dairy) for Human Consumption","198303","1983 March","012","Whole Milk","Million Litres","43.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198303","1983 March","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198303","1983 March","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198303","1983 March","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198304","1983 April","001","All Milk","Million Litres","42.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198304","1983 April","012","Whole Milk","Million Litres","42.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198304","1983 April","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198304","1983 April","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198304","1983 April","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198305","1983 May","001","All Milk","Million Litres","43.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198305","1983 May","012","Whole Milk","Million Litres","43.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198305","1983 May","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198305","1983 May","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198305","1983 May","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198306","1983 June","001","All Milk","Million Litres","42.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198306","1983 June","012","Whole Milk","Million Litres","42.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198306","1983 June","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198306","1983 June","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198306","1983 June","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198307","1983 July","001","All Milk","Million Litres","44.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198307","1983 July","012","Whole Milk","Million Litres","44.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198307","1983 July","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198307","1983 July","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198307","1983 July","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198308","1983 August","001","All Milk","Million Litres","43.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198308","1983 August","012","Whole Milk","Million Litres","43.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198308","1983 August","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198308","1983 August","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198308","1983 August","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198309","1983 September","001","All Milk","Million Litres","42.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198309","1983 September","012","Whole Milk","Million Litres","42.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198309","1983 September","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198309","1983 September","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198309","1983 September","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198310","1983 October","001","All Milk","Million Litres","42.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198310","1983 October","012","Whole Milk","Million Litres","42.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198310","1983 October","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198310","1983 October","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198310","1983 October","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198311","1983 November","001","All Milk","Million Litres","41.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198311","1983 November","012","Whole Milk","Million Litres","41.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198311","1983 November","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198311","1983 November","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198311","1983 November","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198312","1983 December","001","All Milk","Million Litres","41.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198312","1983 December","012","Whole Milk","Million Litres","41.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198312","1983 December","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198312","1983 December","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198312","1983 December","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198401","1984 January","001","All Milk","Million Litres","42.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198401","1984 January","012","Whole Milk","Million Litres","42.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198401","1984 January","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198401","1984 January","014","Skimmed Milk","Million Litres",""
